,brand,categories,currency,dateSeen,gender,id,name,price,sizes
18560,nike,[shoes],USD,2015-04-19T20:28:18.633Z,IDK,AVpfUuW1LJeJML437FVd,Nike - Air Jordan 14 Retro Black Toe,255,
277115,nike,[shoes],USD,2015-09-14T00:00:00Z,M,AVph6SFaLJeJML43gM8i,"Nike Boys Little Posite Pro ""obsidian"" Dark Obsidian/light Aqua Synthetic Basketball Shoes",250,[6Y]
279112,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVphapkNilAPnD_x5J9Q,Nike Air Foamposite One Prm Men's Shoes Anthracite/total Orange-black 575420-003,250,
282525,nike,[shoes men extended sizes],USD,2015-06-01T06:47:13.007Z,M,AVpi6ml11cnluZ0-Rxyh,Nike Men's Tw 15 Golf Shoes,250,
30291,nike,[shoes],USD,2015-10-12T00:00:00Z,W,AVpfNKMU1cnluZ0-gJtv,Nike Womens Wmns Air Huarache Run Wolf Grey/white-black Synthetic Size 11.5 Cross Training/running,250,
120885,nike,"[Women, Fashion Sneakers, Shoes, Kitchen]",USD,2015-10-12T00:00:00Z,W,AVpgQ4P_LJeJML43LaZZ,Nike Womens Air Huarache Trainers 634835 Sneakers Shoes (uk 3 Us 5.5 Eu 36,249.99,
189793,nike,[shoes],USD,2015-04-19T19:23:31.474Z,M,AVpg6_IailAPnD_xy81C,Nike Air Jordan 1 Retro High Og Mens Basketball Trainers 555088 Sneakers Shoes,249.99,
234112,nike,[shoes],USD,2015-04-20T16:44:27.391Z,IDK,AVpiKHLpilAPnD_xBYOJ,Air Max 90 Classic (black/white-flint Grey-hot Red) Reverse Infrared,249.99,
38386,nike,[shoes],USD,2015-04-18T14:48:30.033Z,M,AVpi5H98LJeJML43p-p7,Men's Nike Air Max 2015 Premium Running Shoes - Reflect Silver,249.99,
39077,nike,[shoes],USD,2015-05-01T02:22:16.597Z,IDK,AVpiGr8NilAPnD_xAyYg,Nike Air Force 1 Elite As - 744308-100,249.99,
196686,nike,"[Team Sports, Soccer, Shoes]",USD,2016-03-13T00:00:00Z,IDK,AVpgxO5silAPnD_xxFyQ,Nike Hypervenom Phantom Ii Fg Soccer Cleat,249.98,
43979,nike,[shoes],USD,2015-04-20T22:56:11.521Z,M,AVpiiDPl1cnluZ0-OKoQ,Nike Men's Fingertrap Max Nrg Training Shoe,249.95,
121551,nike,[shoes],USD,2015-04-19T04:33:56.525Z,M,AVpgVAV31cnluZ0-z9aN,Mens Nike Air Max 2015 Running Shoes - Black/white,249.77,
179128,nike,[shoes],USD,2015-04-20T16:24:53.474Z,IDK,AVphZn8a1cnluZ0-CBbg,Nike Lunar Tr1+ Sport Pack With Nike+ Training Shoes,249,
219341,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpgj5CW1cnluZ0-3MWx,Nike Air Foamposite One Prm Men's Basketball Shoes Metallic Silver/volt-black-metallic Cool Grey 575420-004,249,
213167,nike,"[Athletic, Team Sports, Men, Basketball, Shoes]",USD,2016-03-20T00:00:00Z,M,AVpfGMhI1cnluZ0-d11d,"Nike Mens Air Jordan 13 Retro Cp Pe ""chris Paul"" Black/sunstone-orion Blue Leather",248.96,
21408,nike,[shoes],USD,2015-04-20T17:37:22.717Z,IDK,AVphuLEWLJeJML43eFOm,Nike Air Max 1 Bhm 739386-100 Size 10,245,
